frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,0.000000,0.000000,-2000.000000,-4499.810059,17.010000,0.000000,-0.010000,8.320000,-0.003407,0.003412,0.707096,0.707101,0.000500,0.000000,0.000000
1,False,True,True,0.000000,1.000000,-2000.000000,-4499.739746,17.010000,0.000000,21.510000,8.260000,-0.003407,0.003412,0.707096,0.707101,0.001300,0.000000,0.000000
2,False,True,True,0.000000,1.000000,-2000.000000,-4499.489746,17.010000,0.000000,42.849998,8.230000,-0.003401,0.003407,0.707096,0.707101,0.001700,0.000000,0.000000
3,False,True,True,0.000000,1.000000,-2000.000000,-4499.060059,17.010000,0.000000,64.000000,8.210000,-0.003396,0.003401,0.707096,0.707101,0.001900,0.000000,0.000000
4,False,True,True,0.000000,1.000000,-2000.000000,-4498.459961,17.010000,0.000000,84.970001,8.190000,-0.003391,0.003396,0.707096,0.707101,0.001900,0.000000,0.000000
5,False,True,True,0.000000,1.000000,-2000.000000,-4497.679688,17.010000,0.000000,105.759995,8.179999,-0.003385,0.003391,0.707096,0.707101,0.001900,0.000000,0.000000
6,False,True,True,0.000000,1.000000,-2000.000000,-4496.729980,17.010000,0.000000,126.369995,8.170000,-0.003380,0.003385,0.707096,0.707101,0.001800,0.000000,0.000000
7,False,True,True,0.000000,1.000000,-2000.000000,-4495.609863,17.010000,0.000000,146.809998,8.160000,-0.003374,0.003380,0.707096,0.707101,0.001700,0.000000,0.000000
8,False,True,True,0.000000,1.000000,-2000.000000,-4494.319824,17.010000,0.000000,167.069992,8.160000,-0.003369,0.003374,0.707096,0.707101,0.001500,0.000000,0.000000
9,False,True,True,0.000000,1.000000,-2000.000000,-4492.859863,17.010000,0.000000,187.159988,8.160000,-0.003364,0.003369,0.707096,0.707102,0.001300,0.000000,0.000000
10,False,True,True,0.000000,1.000000,-2000.000000,-4491.229980,17.010000,0.000000,207.080002,8.160000,-0.003358,0.003364,0.707096,0.707102,0.001100,0.000000,0.000000
11,False,True,True,0.000000,1.000000,-2000.000000,-4489.439941,17.010000,0.000000,226.830002,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000900,0.000000,0.000000
12,False,True,True,0.000000,1.000000,-2000.000000,-4487.479980,17.010000,0.000000,246.409988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000700,0.000000,0.000000
13,False,True,True,0.000000,1.000000,-2000.000000,-4485.359863,17.010000,0.000000,265.820007,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000600,0.000000,0.000000
14,False,True,True,0.000000,1.000000,-2000.000000,-4483.080078,17.010000,0.000000,285.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000500,0.000000,0.000000
15,False,True,True,0.000000,1.000000,-2000.000000,-4480.640137,17.010000,0.000000,304.139984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000400,0.000000,0.000000
16,False,True,True,0.000000,1.000000,-2000.000000,-4478.040039,17.010000,0.000000,323.049988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000300,0.000000,0.000000
17,False,True,True,0.000000,1.000000,-2000.000000,-4475.279785,17.010000,0.000000,341.799988,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
18,False,True,True,0.000000,1.000000,-2000.000000,-4472.359863,17.010000,0.000000,360.389984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
19,False,True,True,0.000000,1.000000,-2000.000000,-4469.290039,17.010000,0.000000,378.819977,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000200,0.000000,0.000000
20,False,True,True,0.000000,1.000000,-2000.000000,-4466.060059,17.010000,0.000000,397.089996,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
21,False,True,True,0.000000,1.000000,-2000.000000,-4462.679688,17.010000,0.000000,415.209991,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
22,False,True,True,0.000000,1.000000,-2000.000000,-4459.149902,17.010000,0.000000,433.169983,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000100,0.000000,0.000000
23,False,True,True,0.000000,1.000000,-2000.000000,-4455.469727,17.010000,0.000000,450.979980,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
24,False,True,True,0.000000,1.000000,-2000.000000,-4451.640137,17.010000,0.000000,468.639984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
25,False,True,True,0.000000,1.000000,-2000.000000,-4447.669922,17.010000,0.000000,486.139984,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
26,False,True,True,0.000000,1.000000,-2000.000000,-4443.549805,17.010000,0.000000,503.489990,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
27,False,True,True,0.000000,1.000000,-2000.000000,-4439.279785,17.010000,0.000000,520.700012,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
28,False,True,True,0.000000,1.000000,-2000.000000,-4434.870117,17.010000,0.000000,537.760010,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
29,False,True,True,0.000000,1.000000,-2000.000000,-4430.319824,17.010000,0.000000,554.669983,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
30,False,True,True,0.000000,1.000000,-2000.000000,-4425.629883,17.010000,0.000000,571.440002,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
31,False,True,True,0.000000,1.000000,-2000.000000,-4420.799805,17.010000,0.000000,588.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
32,False,True,True,0.000000,1.000000,-2000.000000,-4415.830078,17.010000,0.000000,604.539978,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
33,False,True,True,0.000000,1.000000,-2000.000000,-4410.719727,17.010000,0.000000,620.880005,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
34,False,True,True,0.000000,1.000000,-2000.000000,-4405.479980,17.010000,0.000000,637.079956,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
35,False,True,True,0.000000,1.000000,-2000.000000,-4400.100098,17.010000,0.000000,653.140015,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
36,False,True,True,0.000000,1.000000,-2000.000000,-4394.589844,17.010000,0.000000,669.059998,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
37,False,True,True,0.000000,1.000000,-2000.000000,-4388.949707,17.010000,0.000000,684.849976,8.160000,-0.003353,0.003358,0.707096,0.707102,0.000000,0.000000,0.000000
38,False,True,True,0.000000,1.000000,-2000.000000,-4383.169922,17.010000,0.000000,700.500000,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
39,False,True,True,0.000000,1.000000,-2000.000000,-4377.259766,17.010000,0.000000,716.019958,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
40,False,True,True,0.000000,1.000000,-2000.000000,-4371.219727,17.010000,0.000000,731.399963,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
41,False,True,True,0.000000,1.000000,-2000.000000,-4365.060059,17.010000,0.000000,746.649963,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000100,0.000000,0.000000
42,False,True,True,0.000000,1.000000,-2000.000000,-4358.770020,17.010000,0.000000,761.769958,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
43,False,True,True,0.000000,1.000000,-2000.000000,-4352.350098,17.010000,0.000000,776.760010,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
44,False,True,True,0.000000,1.000000,-2000.000000,-4345.810059,17.010000,0.000000,791.619995,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
45,False,True,True,0.000000,1.000000,-2000.000000,-4339.140137,17.010000,0.000000,806.359985,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000200,0.000000,0.000000
46,False,True,True,0.000000,1.000000,-2000.000000,-4332.350098,17.010000,0.000000,820.969971,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
47,False,True,True,0.000000,1.000000,-2000.000000,-4325.439941,17.010000,0.000000,835.449951,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
48,False,True,True,0.000000,1.000000,-2000.000000,-4318.409668,17.010000,0.000000,849.809998,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
49,False,True,True,0.000000,1.000000,-2000.000000,-4311.259766,17.010000,0.000000,864.049988,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000300,0.000000,0.000000
50,False,True,True,0.000000,1.000000,-2000.000000,-4303.989746,17.010000,0.000000,878.169983,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
51,False,True,True,0.000000,1.000000,-2000.000000,-4296.600098,17.010000,0.000000,892.159973,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
52,False,True,True,0.000000,1.000000,-2000.000000,-4289.100098,17.010000,0.000000,906.029968,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
53,False,True,True,0.000000,1.000000,-2000.000000,-4281.479980,17.010000,0.000000,919.789978,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000400,0.000000,0.000000
54,False,True,True,0.000000,1.000000,-2000.000000,-4273.750000,17.010000,0.000000,933.429993,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
55,False,True,True,0.000000,1.000000,-2000.000000,-4265.899902,17.010000,0.000000,946.949951,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
56,False,True,True,0.000000,1.000000,-2000.000000,-4257.939941,17.010000,0.000000,960.349976,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
57,False,True,True,0.000000,1.000000,-2000.000000,-4249.870117,17.010000,0.000000,973.639954,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000500,0.000000,0.000000
58,False,True,True,0.000000,1.000000,-2000.000000,-4241.689941,17.010000,0.000000,986.820007,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
59,False,True,True,0.000000,1.000000,-2000.000000,-4233.399902,17.010000,0.000000,999.880005,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
60,False,True,True,0.000000,1.000000,-2000.000000,-4225.000000,17.010000,0.000000,1012.829956,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
61,False,True,True,0.000000,1.000000,-2000.000000,-4216.489746,17.010000,0.000000,1025.669922,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
62,False,True,True,0.000000,1.000000,-2000.000000,-4207.870117,17.010000,0.000000,1038.400024,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000600,0.000000,0.000000
63,False,True,True,0.000000,1.000000,-2000.000000,-4199.149902,17.010000,0.000000,1051.020020,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
64,False,True,True,0.000000,1.000000,-2000.000000,-4190.319824,17.010000,0.000000,1063.530029,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
65,False,True,True,0.000000,1.000000,-2000.000000,-4181.390137,17.010000,0.000000,1075.939941,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
66,False,True,True,0.000000,1.000000,-2000.000000,-4172.350098,17.010000,0.000000,1088.239990,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
67,False,True,True,0.000000,1.000000,-2000.000000,-4163.209961,17.010000,0.000000,1100.429932,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000700,0.000000,0.000000
68,False,True,True,0.000000,1.000000,-2000.000000,-4153.969727,17.010000,0.000000,1112.520020,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
69,False,True,True,0.000000,1.000000,-2000.000000,-4144.629883,17.010000,0.000000,1124.510010,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
70,False,True,True,0.000000,1.000000,-2000.000000,-4135.189941,17.010000,0.000000,1136.390015,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
71,False,True,True,0.000000,1.000000,-2000.000000,-4125.649902,17.010000,0.000000,1148.169922,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
72,False,True,True,0.000000,1.000000,-2000.000000,-4116.009766,17.010000,0.000000,1159.849976,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000800,0.000000,0.000000
73,False,True,True,0.000000,1.000000,-2000.000000,-4106.279785,17.010000,0.000000,1171.429932,8.160000,-0.003353,0.003358,0.707096,0.707102,-0.000900,0.000000,0.000000
