frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,False,False,0.000000,0.000000,0.340000,0.000000,18.340000,0.000000,0.000000,0.241000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000410,0.000000
1,True,True,False,False,0.000000,1.000000,0.330000,0.000000,20.809999,-1.111000,0.000000,295.890991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000110,0.000000
2,True,True,False,False,0.000000,1.000000,0.330000,0.000000,23.309999,0.501000,0.000000,299.911011,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
3,True,True,False,False,0.000000,1.000000,0.330000,0.000000,25.840000,0.071000,0.000000,303.931000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
4,True,True,False,False,0.000000,1.000000,0.330000,0.000000,28.410000,0.181000,0.000000,307.950989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
5,True,True,False,False,0.000000,1.000000,0.330000,0.000000,31.010000,0.161000,0.000000,311.971008,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
6,True,True,False,False,0.000000,1.000000,0.330000,0.000000,33.639999,0.161000,0.000000,315.990997,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
7,True,True,False,False,0.000000,1.000000,0.330000,0.000000,36.309998,0.361000,0.000000,320.010986,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
8,True,True,False,False,0.000000,1.000000,0.330000,0.000000,39.029999,0.561000,0.000000,326.740997,-0.001330,0.008548,0.000013,0.999963,-0.319510,0.000000,0.005410
9,True,True,False,False,0.000000,1.000000,0.340000,0.000000,41.809998,0.761000,0.031000,333.471008,-0.003941,0.008548,0.000035,0.999956,-0.626210,0.000000,0.010610
10,True,True,False,False,0.000000,1.000000,0.350000,0.000000,44.649998,0.961000,0.121000,340.200989,-0.007777,0.008548,0.000067,0.999933,-0.920710,0.000000,0.015610
11,True,True,False,False,0.000000,1.000000,0.360000,0.000000,47.539997,1.161000,0.311000,346.931000,-0.012794,0.008548,0.000111,0.999882,-1.203410,0.000000,0.020410
12,True,True,False,False,0.000000,1.000000,0.370000,0.010000,50.489998,1.361000,0.621000,353.661011,-0.018939,0.008548,0.000165,0.999784,-1.474810,0.000000,0.025010
13,True,True,False,False,0.000000,1.000000,0.380000,0.020000,53.489998,1.561000,1.081000,360.381012,-0.026168,0.008548,0.000224,0.999621,-1.735410,0.000000,0.029410
14,True,True,False,False,0.000000,1.000000,0.390000,0.030000,56.549999,1.761000,1.711000,367.091003,-0.034438,0.008548,0.000294,0.999370,-1.985610,0.000000,0.033610
15,True,True,False,False,0.000000,1.000000,0.410000,0.050000,59.660000,1.961000,2.541000,373.790985,-0.043706,0.008543,0.000370,0.999008,-2.225810,0.000000,0.037710
16,True,True,False,False,0.000000,1.000000,0.430000,0.080000,62.829998,2.161000,3.601000,380.471008,-0.053929,0.008537,0.000456,0.998508,-2.456410,0.000000,0.041610
17,True,True,False,False,0.000000,1.000000,0.450000,0.120000,66.059998,2.361000,4.901000,387.131012,-0.065070,0.008532,0.000548,0.997844,-2.677810,0.000000,0.045410
18,True,True,False,False,0.000000,1.000000,0.470000,0.170000,69.339996,2.561000,6.471000,393.760986,-0.077084,0.008526,0.000650,0.996988,-2.890310,0.000000,0.049010
19,True,True,False,False,0.000000,1.000000,0.490000,0.240000,72.680000,2.761000,8.331000,400.351013,-0.089934,0.008516,0.000758,0.995911,-3.094310,0.000000,0.052510
20,True,True,False,False,0.000000,1.000000,0.510000,0.330000,76.070000,2.961000,10.501000,406.881012,-0.103583,0.008505,0.000871,0.994584,-3.290210,0.000000,0.055810
21,False,False,False,False,0.000000,1.000000,0.530000,0.420000,79.419998,2.961000,10.501000,401.460999,-0.117987,0.008489,0.000990,0.992978,-3.478310,0.000000,0.059010
22,False,False,False,False,0.000000,1.000000,0.550000,0.510000,82.720001,2.961000,10.501000,396.040985,-0.133114,0.008473,0.001119,0.991064,-3.658810,0.000000,0.062110
23,False,False,False,False,0.000000,1.000000,0.570000,0.600000,85.979996,2.961000,10.501000,390.621002,-0.148921,0.008451,0.001254,0.988812,-3.832110,0.000000,0.065010
24,False,False,False,False,0.000000,1.000000,0.590000,0.690000,89.189995,2.961000,10.501000,385.200989,-0.165375,0.008429,0.001395,0.986194,-3.998510,0.000000,0.067810
